dataset,undersample,as_cv_step,fs_method,incl_filtered,estimator,feat_range,src,st,kappa,roc_auc
abus,False,False,boruta_lightgbm,False,gbc,3-15-1,flat,diff,-0.2438531188525758,-0.0985101010101011
abus,False,False,boruta_lightgbm,False,gbc,3-15-1,flat,mean,0.4911840797066684,0.6930555555555556
abus,False,False,boruta_lightgbm,False,gbc,3-15-1,flat,std,0.1968101551315615,0.1438898217845248
abus,False,False,boruta_lightgbm,False,gbc,3-15-1,flat,test,0.2473309608540925,0.5945454545454545
abus,False,False,boruta_lightgbm,False,gbc,3-15-1,ncv_0,diff,-0.1747386759278738,-0.1464772727272726
abus,False,False,boruta_lightgbm,False,gbc,3-15-1,ncv_0,mean,0.4220696367819664,0.69375
abus,False,False,boruta_lightgbm,False,gbc,3-15-1,ncv_0,ncv_diff,0.0245942571785268,0.0922376543209876
abus,False,False,boruta_lightgbm,False,gbc,3-15-1,ncv_0,ncv_val,0.5,0.7256944444444444
abus,False,False,boruta_lightgbm,False,gbc,3-15-1,ncv_0,std,0.178156020162267,0.1486645914644104
abus,False,False,boruta_lightgbm,False,gbc,3-15-1,ncv_0,test,0.2473309608540925,0.5472727272727274
abus,False,False,boruta_lightgbm,False,gbc,3-15-1,ncv_1,diff,-0.2271864521859091,-0.1447853535353535
abus,False,False,boruta_lightgbm,False,gbc,3-15-1,ncv_1,mean,0.4745174130400017,0.7120580808080808
abus,False,False,boruta_lightgbm,False,gbc,3-15-1,ncv_1,ncv_diff,-0.2774541364922117,-0.1167283950617282
abus,False,False,boruta_lightgbm,False,gbc,3-15-1,ncv_1,ncv_val,0.2977099236641222,0.6250000000000001
abus,False,False,boruta_lightgbm,False,gbc,3-15-1,ncv_1,std,0.1904824764049277,0.1516374848101921
abus,False,False,boruta_lightgbm,False,gbc,3-15-1,ncv_1,test,0.2473309608540925,0.5672727272727273
abus,False,False,boruta_lightgbm,False,gbc,3-15-1,ncv_2,diff,-0.2438531188525758,-0.1062499999999999
